context,generated_question,generated_answer
"I like the ingredients that these biscuits have -- everything's organic -- meat, veggies, and grains.  Each biscuit comes in two squares, so I tried to break the biscuit in half to separate the two squares and found it very difficult.  Those biscuits were hard!  I also smelled the biscuits and didn't notice much flavor/scent at all.<br /><br />I gave one square each to my two dogs.  While my one-year-old dog gobbled it up (as she does with everything, and may have swallowed it whole for all I know), my six-year-old dog was hesitant at first.  He sniffed it a bit and then had a very hard time taking that first bite into the very hard biscuit.  I think he was afraid of breaking his teeth!  (And he chews on very hard toys/bones/rawhide.)  He didn't seem too wild about the taste either, as he wasn't in any rush to finish the square after he broke into it.  They looked and probably tasted like cardboard, so I can see why.<br /><br />I appreciate what Newman's is trying to do for dogs in giving them healthier snack alternatives, but please don't break my dogs' teeth!",What did Newman's do for dogs?,giving them healthier snack alternatives
"""Bottom Line Up Top"":  While individual tastes may vary, this healthy and humanely produced dog food is a real treat that bot you can your dog will feel good about; you in your head and heart, the dog in a very happy tummy.<br /><br />This is ""one cookie"" (Newman's great line in ""The Young Philadelphians) that was a HUGE hit with our 14-year old Golden Retriever, ""Sadie, The Wonder Dog."" After some circumspect sniffing and tentative gnawing, Sadie got into these in a major way.  Yes, they're crunchy, but Sadie had no trouble chewing it up and gave us the patented ""Retriever Look"" signaling she wanted MORE.<br /><br />Ingredients:<br />The treats are about 1"" by 2"" and are scored so that they can be broken in half.  THe ingredient list reads like something you'd find at a California health food retreat (well, except fo rthe meat):<br /><br />Organic barley, Organic lamb, Organic carrots, Organic apples, Organic palm oil, Organic molasses.<br /><br />In the interest of full disclosure I should tell you that Sadie is not very particular when it comes to food. Not at all. Oranges, cherry plums, lettuce, bok choy, and tofu(!) are cherished by her; she holds the bok choy with both paws as if it were a bone. She's not totally easy (she refuses to eat spinach--probably some early puppy experience), but calling her the goat of Goldens would not be a cheap shot.<br /><br />However, it's important that Sadie stay away from typical canine snacks, especially at her age. She has arthritis, and a poor diet has been linked to a number of disorders in older dogs. Fortunately, our vet has warned us about this, and it's become necessary to tell a certian neighbor to stop feeding her raw hamburger, baked potatoes with sour cream, bacon, etc.<br /><br />Now, I don't want to guilt-trip anyone over what they're feeding their pooches, but here's a (partial) list of culinary ""BAD DOGS"" that you won't find in Newman's pet foods. (The following--and MORE--can be found at [...]. WARNING: The following contains graphic descriptions of typical dog food ingredients.  HIDE YOUR CHILDREN.<br /><br />NO Poultry by-products - Ground, rendered, cleaned slaughtered poultry carcass parts such as necks, feet, lymph nodes, undeveloped eggs and intestines (and a small amount of feathers). The quality is very inconsistent between batches. Note: By product meals are often derived from 4-D meat sources - defined as food animals that have been rejected for human consumption because they were presented to the meat packing plant as ""Dead, Dying, Disabled or Diseased"".<br /><br />NO Chemical fertilizers - Chemical fertilizers have been incriminated in serious health problems in animals and are not allowed in organic-certified products.<br /><br />NO Antibiotics or steroids - Long-term daily administration may result in a compromised immune system, muscle wasting, and destruction of the friendly bacteria living in the intestines that aid the digestion of food and assimilation of nutrients.<br /><br />NO Chemical additives or artificial preservatives - Chemical antioxidants, such as ethoxyquin, BHT or BHA, that were designed to extend the shelf life and reduce fat spoilage (rancidity) of pet foods may cause allergic reactions and affect liver and kidney functions.<br /><br />NO Artificial Colors and Dyes - Coloring agents provide an artificial ""rich and meaty"" look to modify the appearance of highly processed foods and make them more appealing to pet owners.<br /><br />As if this weren't enough, 100's of thousand of dollars are donated by the Newman Foundation to animal advocates (lest you think this means radical animal activists, we're talking mainstream things like animal shelters, etc. Details available at the website above).<br /><br />Sadie says, ""Give it a try!""",What was Sadie's favorite dog food?,The Wonder Dog
"These are dog treats you can feel good about feeding your dogs. No fillers or artificial ingredients - just good stuff for your pet.  However, I would only recommend these for medium to large breed dogs (over 40 lbs).  The treats are quite large and are very very hard. My two small dogs (dachshunds) really wanted to devour them, but gave up as they were simply too large for them.  Even when broken into smaller pieces, the bits were very hard for the little guys to chew.  I gave the rest of the bag to our neighbors and their yellow lab simply loved 'em.  Great treats for bigger breeds!",What kind of dog treats are you can feel good about feeding your dogs?,These are dog treats
"I give my dogs very wholesome food. So when I give the occasional treat, I want it to be enjoyed by my dogs. Meaning, I want the experience to be motivating and rewarding. After testing this product on all three of my dogs, I think this stuff is too organic and wholesome for me and my pooches.<br /><br />CONS - When I opened the bag, I noticed these organic treats were very hard. I couldn't break them up with my hand to give in little pieces or use for training. I had to give the treat as a whole biscuit. Also they were very fibrous looking. Much like those unappealing high-fiber diet bars that humans eat when they're on some sort of regimented weight loss program. Also, I prefer my dog treats to be in cute shapes...bones, hearts, rounds, rolls, etc. These were just regular squares. And since the cookies were so hard, I was afraid the corners would cut the mouths/gums of my smaller dogs.<br /><br />PROS - If you read the label, the ingredients are high quality. They're the stuff I look for when I buy their every day food.<br /><br />Dog tested: My big German Shepard, who usually likes chicken jerky treats (and won't eat anything that has a smoky flavor like Beggin Strips), ate her biscuits. However, she wasn't terribly interested and definitely didn't think it was treat. It looked as if she just ate it because it smelled edible and it was there. She didn't even wolf it down like she normally does with her treats. My Cocker Spaniel, who usually begs me for everything and is highly food motivated, took a sniff and and a lick but ultimately was not interested in these wholesome treats. As for my little Pomeranian, well it was too hard and big of a biscuit for him.<br /><br />Even thought these treats are supposed to be nutritious and healthy, I only gave them 1 star because my dogs and I didn't enjoy them.",What was the name of my dog's treat?,chicken jerky
"We have 2 dogs, a Boston terrier (22 lb) and a basset/shepherd mix (55 lb).  Both have had digestives issues and we feed them a wheat free diet.  They flourish on this diet and don't have any of the problems they used to have.  That being said I wasn't certain how they'd react to these treats.  The dogs love them and we haven't had any GI tract problems.  They've had no bad reactions whatsoever to them.<br /><br />The treats are 2 1"" x 1"" squares attached together, with a line incised between the squares so they can be broken apart for smaller dogs.  They are fairly thick and substantial enough that it takes a few minutes for our dogs to finish them.  They don't wolf them down in one gulp which is a good thing.  The package has a good number of treats too.  I also appreciate the source of the lamb, New Zealand, and the fact they are organic.<br /><br />I'll be buying these again.  They love lamb, enjoy the treats and I think they are a good value.",What is the name of the dog that has had digestive issues?,Boston terrier
"My four mixed breed dogs (40lbs-100lbs)gobble up Newman's Own dog treats.  But, these terrific dogs gobble up just about anything (except fresh green leafy vegetables), so perhaps their standards shouldn't be the mark of ""goodness"".<br /><br />I'm an ingredient list reader for all foods (human & animal), so that is what I did when I received the Newman's pet treats.  The ingredient list is short & consists of the following:<br /><br />Organic Barley, Organic Lamb, Organic Carrots, Organic Apples, Organic Palm Oil (Preserved with Mixed Tocopherois, a Source of Vitamin E), Organic Molasses<br /><br />The treats themselves are rectangular & scored in the middle.  They are 2"" x 1-/4"" for the full size & 1"" x 1-1/4"" for the 1/2 size.  They do not have a strong smell, but a hint of apple is noticeable (& a grain smell, which I presume is the barley).  My 10oz bag came with 18 full size treats.<br /><br />I like the rectangular shape of the treat.  Sometimes my large dogs get excited about treats & forget about ""nicely"".  With the rectangular shape, my hands won't fall victim to an enthusiastic chomp.  Since the treats are scored down the middle, I can break them down, so my older, smaller dogs can easily eat the treat.<br /><br />Overall, I think the ingredients are excellent for a dog treat, and it is nice that they are adaptable for different sized dogs.",What is the name of the dog treat I received?,Newman's pet treats
"I have two dogs-a Welsh Corgi and a medium sized mixed breed, and they both LOVE these treats! They smell good and are sturdy-not crumbly. The only thing I would change is to make them a little smaller, as I try to help my dogs watch their weight!",What is the name of the dogs that I have two dogs?,Welsh Corgi
"Okay, I love many Newman's Own products (<a href=""http://www.amazon.com/gp/product/B001HTJ6IA"">Newman'S Own Marinara Pasta Sauce With Mushrooms ( 12x24 OZ)</a>, <a href=""http://www.amazon.com/gp/product/B001HTP1VG"">Newman's Own Ranch, 16-Ounce (Pack of 6)</a>) so why not try giving some to my favorite furry friend?  The promises on the package look good - made with organic barley, no wheat, no corn - and the analysis on the back tells me that my West Highland White Terrier will receive 9% minimum of crude protein, 4% minimum of crude fat, 4% maximum of crude fiber.  The ingredients are organic barley, organic lamb, organic carrots, organic applies, organic palm oil (preserved with mixed tocopherols, a source of vitamin E), and organic molasses.<br /><br />So it sounds good, but how will it be received.  I cannot say that my Westie is a particularly fussy eater (I have yet to meet a terrier who is), but there have been times that he has opted to walk away rather than take a second treat, so I can only assume that after his first bite he was less than interested.  Like any good dog, he can running at the sound of the package rustling, with high hopes that this might be for him.  I pulled out a treat approximately the size of the mousepad on my laptop (or you can look at your keyboard - as wide as your Shift key and as tall as Enter and Shift together).  While my little guy thinks he's a big dog, I know better, so this had to be broken down.  Fortunately, there is a nice perforation down the middle making it easy to break apart for him.  That half would still be a pretty big treat for a smaller dog, but it works nicely for my little guy.<br /><br />I gave him one piece and he took it and waited, hoping I would go ahead and hand him the other so he could take them both away.  After I told him one was all he was going to get, he took his piece out in the yard (he likes to go on the deck to eat his treats).  In just a couple of minutes, he was back and waiting patiently for another.  As soon as I produced the other half, he was up on his back legs and watching that treat intently.  Even now he is watching me since he heard the crinkling as I was getting the information off the bag.  I think my Westie is Newman's Own's newest fan!<br /><br />These are a little pricier than the treats I typically purchase for him, but if you only use these for special treats it should not be too much.  Besides, it makes sense to me to care just as much about what I put into his body as I can about what I put into mine.",What is Newman's Own Ranch?,Marinara Pasta Sauce
"These ranch style dog treats are made with all organic barley, and contain no wheat or corn.  They are roughly about 1.25 x 2.25 inches a piece in rectangular shape, almost like a fat fig newton. My 10 oz package had a total of 16 biscuits.  Upon opening the package, it had barely any smell to them.  Almost like a bland cookie smell.  The package doesn't have a recommend serving suggestion, but I would basically give my dog 1 to 2 treats a day.  The cover says the treats are baked in small batches.  They have been certified organic by Oregon Tilth and are a product of New Zealand.<br /><br />I gave these treats to my 80 lb Lab mix and he tore it up.  He must enjoy them because he keeps staring at the bag sitting on my desk, even as I type this review.  However, my dog doesn't discriminate between organic treats or Milk Bones, he'll eat whatever and begs for treats all the time when he sees them.<br /><br />Guaranteed Analysis on package says:<br /><br />Crude Protein  9.0% min<br />Crude Fat  4.0% min<br />Crude Fiber  4.0% max<br />Moisture  11% max<br /><br />I would try these again in the future and recommend them.",What is the name of the dog treats that I gave my dog?,Milk Bones
"Well, I didn't actually eat one, but my faithful Golden Retriever did. The thing with dogs is, they eat pretty indiscriminately. How do I know this dog biscuit is any better than any other dog biscuit? He eats them all! Open the bag and smell. Most dog treats smell horrendous. I was very surprised at the non-offensive odor of these. Yes, the idea of organic all healthy treats appeals to me too. But mainly, they won't stink up my car if I take them with me someplace. They are a nice size for bigger dogs, but have scores on them so you can break them up to smaller sizes. Nice packaging too, with a zipper top. I like that much better than a box that comes open constantly. We give'em five woofs!",What did the Golden Retriever eat?,dog biscuit
"My pets came running when they heard the call of ""treats!"". Of course when a new treat is offered the devour it, the real test is...will they eat all the treats in the bag over the next few days or will they turn their nose up at the treat the second or third time it is given.<br />They LOVED the whole bag! Even the cats had to get in and get some(of course theirs had to be crumbled for them, as the biscuits are medium to big dog size)and the loved the treats too.<br />I did not feel guilty about giving any of the animals the treats as they are 100% organic and even better I could pronounce what every ingredient was (as well as know what it was (carrots, lamb, molasses etc)!",What did my pets feel guilty about giving the treats?,they are 100% organic
"These definitely work as treats, since my dog is very excited to get one.<br /><br />However, even though they are scored to break easily, they only break once, and half of one of these is still too big for a small treat for my 18-lb dog.  Half is about twice the size (or more) of several other brands of treats I have around, so I think these may be extra-big.  Might be great for big dogs who can barely taste regular sized treats!<br /><br />My other complaint is that the name of the product should be ""Barley and Lamb"" dog treats, since the first two ingredients are in that order.  Otherwise, though, the ingredients are pronounceable and look very healthy and I feel good about this dog treat....as long as I want to give her a BIG treat!",What is the name of the dog treats I have around?,Barley and Lamb
"OMG I almost lost a finger as Sparky grabbed this treat out out my hand with unbounded enthusiasm! Granted, he's a black lab mix who will eat anything, but he really loved these treats. As did Miko, who is generally more polite. And both Miko and Sparky refused to leave after getting these treats - when I said ""that's it"", and showed them my empty hands, they usually will both leave the kitchen. But no, they both just sat there, wagging their tails, demanding more! After reading the ingredient list, I was tempted to try one myself!",What was Sparky's favorite treat?,black lab mix
It is hard to review a product that was meant for a dog but I will give it a try.  The first thing upon opening up the resealable package is that the treats are a little on the large size and seem to be meant to break in half as there is a line down the middle that allows you to snap in two.  These should not be considered training treats because they are much too big to feed to your dog several times a day.  I did smell them before giving them to the dogs and the smell seemed fresh and reminded me of a regular cookie which is what they resemble.<br /><br />Now for taste I left that to the dogs.  I have two dogs a Schipperkie and a Mini Aussie that are given treats twice a day plus training treats.  They only eat the finest products which are fresh from the dog bakery or a gourment dog treat store so it is safe to say the dogs are somewhat pickey.  When I first gave the treats they both took them from me and ran off to enjoy. Now it is important to note that when they get a really special treat they each go to there favorite place to enjoy and keep the other dog from stealing the treat.  In this case the dogs ate their treats next to each other so I am going to assume they did not feel that the treat was all that special.  Next I put the Newman Treat in the bowl with a cookie that smells like a pizza from the dog bakery.  One dog took the Newman cookie first and the other dog took the pizza cookie first which was smaller than the Newman treat.  The dogs digested the food properly after checking as the poop size was normal after a week of using the Newman product as their daily treats.<br /><br />All in all I wish the product was sold in a smaller size but the quality of the treat seemed to be good and the dogs liked the treats but I dont feel they loved them (as I mentioned before they did not go to their special place to eat the treats in piece and quite as they will do on their favorite treats).,What was the name of the newman treat?,Newman Treat
"My first reaction to these when I opened the pack was ""Wow, they smell good enough to eat!""  I'm not sure that matters, since some of my dogs' favorite treats smell like something I don't even want to touch (check out their most favorite sometime, Icelandic fish skins -- ick! I have to face the bag away from me when I open it.)  Nevertheless, it moved the Newman's Own treats up a notch in my own preferences.<br /><br />Now, in the interest of full disclosure, I have to confess that I have Cardigan Welsh Corgis, a breed infamous for its hearty and undiscriminating appetite.  Having said that, they loved these treats.  They found it hard to sit still to get one (standard house rules) because they had to wiggle and wag and be all-over excited about them.<br /><br />Each bag contains only 10 ounces of treats, which does make them expensive, but good ingredients never come cheap (if price is your only deciding factor, brace yourself before you go look at those fish skins).  Given the healthy ingredients and my dogs' reaction to them, I would certainly buy them again.",What was my first reaction to the newman's Own treats when I opened it?,"""Wow, they smell good enough to eat!"""
"It's a little bit difficult to review dog cookies since I can't sample them myself, but my Aussie mix, Chelsea, thinks these are just great. She chooses them over her usual Milk Bones and store brand dog cookies every time. As an older dog (twelve years), she sometimes needs an appetite stimulator, and these cookies do the trick. Amazingly, the contents of the cookies are all organic; barley, lamb, carrots, apples, palm oil, and molasses. If they weren't so hard, I might be tempted to try one! I think I'd break my teeth, though. Chelsea gives them a big four paws up!",What is Chelsea's favorite dog cookie?,Milk Bones
"To properly test this product, I had to go to my experts - our dog and her walking friend.  Most mornings, after their walk with their moms, they return to our house to play in the yard.  My role is to greet them with a tasty treat - usually a Gravy Bone, which they love.  This week I've been mixing in these treats and, based on the experts' reaction, they are quite popular.  They seem to come from a safe source and have good ingredients.  So, get some for your pup.  Hurry up, will you?  They're waiting.",What is a Gravy Bone?,tasty treat
"I can't give these less than 3 stars because... well, dogs eat them.<br /><br />However, be aware that these are another brand of extremely hard dog biscuit, while most dogs I have known seem to get most excited by softer (and stinkier) treats.  In fact, these might even be harder than the common milkbone stuff.  I can't comment on taste, but soft and stinky definitely get the biggest reactions.",What kind of dog biscuits do dogs get the most reactions?,soft and stinky
"Right out of the bag, these are dense, oaty-smelling biscuits that look like hardtack.  My dogs loved the taste, and I felt really good about feeding them something with an ingredient list that talked about organic ingredients.  However, neither of my dogs tolerated these well.  If your dog has a sensitive stomach, this might not be the dog biscuit for you.<br /><br />Just for reference, I have an older full-breed corgi and a younger corgi/chihuaha mix.  My older dog has definitely developed gluten and corn allergies over the years, while the corgi mix just has a sensitive tummy.  That's probably why they couldn't tolerate these--it's not the fault of the ingredients.",What kind of biscuits did my dogs tolerate?,"dense, oaty-smelling"
"I think these are a good treat for mid-size dogs. High quality, organic ingredients.<br /><br />They are hard, so probably not suitable for small dogs, but they're also not very big. Our Newfoundland could eat several of these at once.<br /><br />I was a little surprised that she ate them at all. She's eaten a quality grain-free dog food (origen) and vegetables her entire life and usually turns her nose up anytime someone offers her a ""treat"". In the end though, we're both probably happier sticking to her normal food, so I won't be ordering any more of these.",What is a good treat for mid-size dogs?,"High quality, organic ingredients"
"I am always a bit hesitant to give my dog new treats - as many are filled with fattening and bad ingredients.  These appear to be all natural, with the following ingredients:<br /><br />Organic Barley<br />Organic Lamb<br />Organic Carrots<br />Organic Apples<br />Organic Palm Oil<br />Organic Molasses<br /><br />They are large treats with a nice consistency, and my dog loves them, so it is a win / win: healthy treats she loves.",What is a win / win for my dog?,healthy treats she loves
"These look like regular ole dog biscuits. They don't have a strong smell so you can hold these and the smell will not stay on you hands for a while like other treats. You can put these in your pocket and not worry about crumbling or smell in your pocket if you are taking your dog for a walk. We have a rottweiler and he eats anything you put in front of his face. What's great about these is that they are a lot better and healthier than other treats. Like others have said these are pretty hard. I tried breaking some that are stuck in half and it is pretty hard to do. So, sometimes our dog gets lucky with two treats.",What is a good thing about rottweiler treats?,they are a lot better and healthier
"When I first opened the package, I wasn't sure how much a dog would like these treats.  They look like dense bricks and smell like tea leaves.  I gave one to my friends' border collie and she was a little wary of this new treat at first.  After carefully sniffing and licking the treat a few times, she bit into it and started eating with gusto.  When she was done, she checked all around to make sure no crumbs were wasted and got up to beg for more.  These treats seemed to be a big hit with her.<br /><br />As other people have pointed out, these treats are pretty sizable and hard.  They probably aren't great for smaller dogs.",What kind of treat did a border collie like?,tea leaves
"Newman's Lamb and Barley dog treats have been happily, and eagerly, devoured by both dogs in the house: a Siberian husky, and a Jack Russell terrier. The ingredients in the treats are organic and natural, without anything weird or unusual (like colors, stabilizers, preservatives, etc). The treats are odorless and come in a re-sealable ziploc pouch.<br /><br />The treats are rectangular with an indentation down the center to allow (in theory) one to break the treat in half. Even half of the treat, though, seems a bit large for smaller dogs. Additionally, the treats are so hard and dry, that breaking them in two can be difficult. Fortunately, a good number arrived pre-broken, and those are the ones the JRTs been getting. The hardness of the treats makes me think they're probably good for the dog's teeth, and each pup takes a while to eat them. They can leave crumbs, but dogs are usually pretty adept at getting every last morsel, so there's never been any mess left-over.",What is the name of the dog treats that have been happily devoured by both dogs in the house?,Newman's Lamb and Barley
"While these are a bit hard for our 17-year old (almost toothless) dog to chew, our much younger (and larger) black lab really enjoys these treats.  Lady could smell them even before I opened the bag, and she was begging for them before I got the bag opened.  Talk about an impatient dog!  These treats are hard, like a biscuit, but with a rectangle shaped (about 1 1/4"" x 2""), and they're scored in the middle.  The score in the middle makes it easy to break in half for smaller dogs.  Those are all the reasons my dog likes these treats.<br /><br />The reason I like them?  Organic ingredients make these treats healthy for my dog.  I love that I can give her a healthy treat that she loves.",What is one reason my dog likes these treats?,Organic ingredients
"First I want to say my dog is a carnivore, he primarily eats raw meat. I do allow him many treats other than carrots but he will jump at the chance to eat anything I toss at my chickens.  For that reason I wanted to try Newman's own because it is organic and has all the good things a dog should have, and I felt he should be able to have something good for him other than meat.<br /><br />When Amazon offered this to me to review for all of you. I jumped at the chance for my dog to give it a try. When this arrived it came in a large bag, I thought this would have been a tiny little bag of treats, it was not,  the treats inside were very large 2-1/4"" long and about 2"" wide and about 1/2' thick. It also had a nice crease in the middle to brak it in half if  you choose to give a smaller treat. As most treats they smell awful but I guess a dog would like that.<br /><br />I gave my dog, a constantly hungry Black Pug, a choice of his frozen treat in one hand and Newman's own in the other, he took a while but chose his treat.<br /><br />I then gave him Newman's own treat and he took it but he sniffed at it for awhile.  Now he knows what it is. I then sat down at my laptop and he jumped up to be with me, he stared at the treat and I moved it toward him and nothing, I gave the OK command and he looked at it,  I had to pick it up and give it too him. Now it is a few minutes later, he is sitting here, the treat is on my leg and he is looking at it, oops just jumped off.<br />My dog, who will eat just about everything, just walked away from this treat.  He is not interested, I will not be buying this.  I will bring it to the shelter for another dog.",What was the name of Newman's dog's treat?,Black Pug
"Many dog biscuits seem to be plagued by a crumbly texture or the odors of old cardboard - or, at best, old, rancid cardboard. Not so with the Newman's Own Organic treats. Made of high-quality organic products, including lamb, barley, and apples, they're nice and solid without being rock hard, they smell like something good and wholesome, and both of my dogs absolutely love them. I like that they come in a resealable (and recyclable) plastic pouch, too. No more worries about accidentally bringing home beetle-infested biscuits as I've done on more than one occasion.<br /><br />I've enjoyed several of Newman's Own's product for people and would wholeheartedly recommend their dog treats to owners who care about their pets' health and happiness. Two enthusiastic paws up.",What is Newman's Own Organic's dog treats?,"lamb, barley, and apples"
"He loved this cookie as a treat.  Not sure if this is available in a smaller size of cookie, but the bars seem larger than the heart shaped chicken cookie treats I have been buying.  The lamb one does not upset my older English Cocker Spaniel who has a sensitive tummy, and isn't any more fattening either than the other cookie, but I do break each bar into two or three pieces to feed it to him.  He can actually deal with the size just fine, tho this particular style is more appropriate for a large dog vs a middling size dog like him, but he counts the number of treats we give him and isn't happy until he gets three pieces :-)  I feed him one bar broken into three pieces, while I feed him two to three of the little heart shape cookies(depends on how much food he's cadged from my toddlers that day) I totally trust the Newman's brand of dog food and have been happy with my baby's silky and healthy coat and no tummy upsets on the Newmans food or cookies.",What is the name of the cookie that I have been buying?,heart shaped chicken cookie
"Much of the junk sold as dog food is made of filler and animal by-products and mysterious stuff with long scientific names.  How refreshing to have a simple organic dog biscuit made from good organic stuff that you can actually pronounce.  My dogs love these biscuits and eagerly offered a ""sit"" before I had a chance to fully open the package.  Lamb and rice, yum!<br /><br />My wife was curious and tasted a bit.  She said it tasted good like Zwieback crackers. (I took her word for it but didn't try it myself).  My two dogs eagerly chomped them up.  The only negative to these tasty treats in my opinion is their size.  I'd prefer a treat about the size of a pencil eraserhead for my small dogs as I like to give treats frequently for training.  The large size are a mega size treat.  I won't give them anything less than five stars. These biscuits are yummy!",What was the only negative to a simple organic dog biscuit?,their size
"Boy did I ever test this out.<br /><br />Each morning after the kids get on the bus, the dogs get a quick walk around the neighborhood park.  They love this, and they especially love the dog moms who bring treats.<br /><br />My dog is a little weird.  She doesn't really like treats -- or rather, she doesn't like a lot of treats.<br /><br />So I thought between my dog and the 5 or 6 others that join the walk, I could give a good review of this product.<br /><br />The consensus:  Every dog liked them!  So that's the main thing that you're looking for when you spend your money on dog treats.  If natural ingredients are important to you, then you can depend on Newman's Own.<br /><br />The one thing that makes me hesitate in giving them 5 stars is that they are big and crumbly.  Crunchy dog treats are good for their teeth I think, but these are 2 x 1 inches big, with a scored line to break them into 2 1 x 1 inch treats.  I found that the scored area was easy to separate, but even so, they are kind of big.<br /><br />So when my dog (a 40 lb mixed breed) ate them, they made a big mess!<br /><br />The other dogs on the walk are the same size or bigger, except for one tiny Shih Tzu.  She wasn't intimidate and tackled the treat with gusto as well.<br /><br />There are about 10 to 15 bars per bag (scored in two, so 20 to 30 treats).  I didn't think to count them when they first arrived, but that's my best guess.",What is one thing that makes me hesitate in giving my dog 5 stars?,they are big and crumbly
"These are thick, hearty treats that come in squares of two you can break apart. They smell like graham crackers!! My dog is very picky and really loves these snacks. He also has very sensitive skin and so far so good with that. No hot spots or anything. His food is an organic duck/rice mix with no fillers. The ingredients on these treats are simple as well.  I will be buying these again!",What is the name of the sweet treats that my dog loves?,graham crackers
"My dogs love these treats.  There are a number of other lower-quality brand treats in our ""treat cabinet"", but both of my dogs start trying to get to the Newman's Own bag whenever I open the cabinet door.  I can definitely tell they like them the most.  And shhhh, don't tell them... but it is probably the healthiest choice for them from all the treats in that cabinet.<br /><br />The treats sort of smell nice... dare I say ""fresh"".  I am almost tempted to break off a small piece and try it myself (ALMOST, but not quite).<br /><br />I think I will stop buying the cheaper, unhealthier brand treats from now on and go with the Newman's Own Organics line.  It will be a nice compliment to their quality dog food, <a href=""http://www.amazon.com/gp/product/B0009X0RA6"">Chicken Soup for the Dog Lover's Soul</a>.",What is a nice compliment to the Newman's Own Organics line?,quality dog food
"These truly are a superior dog treat. I have two small dogs and they are spoiled and picky when it comes to treats. They love these. Newman's Own brand is so much better than the bland dog treats that my poor dogs have always been subjected to in the past. These are high quality, and that is obvious when I see the way my dogs respond to these treats. They smell good, look good, and break easily if you just want to give them a half. As my dogs usually take a treat and lick it a few times and drop it in a corner, these were actually eaten with enthusiasm.",What is the name of the dog treat that I have two small dogs?,spoiled and picky
"OK, so I sit in the Dawg Pound for NFL games and firmly believe that the Uga dynasty is the best mascot tradition in major college athletics, but my fandom ends at barking at officials and not demonstrating special mettle by munching on snacks designed for ""man's best friend.""<br /><br />Earlier today, I put the treats to a taste test with a pair of dogs that run every morning with their owner....and they ate the biscuits with aplomb. The back of the package has a complete nutritional analysis, but the ""Newman's Own"" name means top quality in every product.<br /><br />Nell Newman continues to do an oustanding job in continuing and expanding the company's vision. And that the good news can be shared with pets simply makes it even more enjoyable.",What is the name of the newman's own company?,Newman's Own
"These were a little bigger then my owner expected them to be, each treat can be broken in half.<br />I really enjoyed the taste, and spent a good five minutes snuffling the ground after being given the treat to make sure I had not missed any crumbs.<br /><br />My owner wishes that organic items like this could be made in the United States, but understands that the treats had to be made in New Zealand because New Zealand does not allow GMO crops to be grown in their country.<br />Since my owner is opposed to GMO in the food supply, she was happy that she could give me a treat that was healthy, safe, and tasty, that contains no GMO ingredients.<br /><br />Review by Ginger, with some help from her human parent",What was the name of the treat that Ginger gave me?,"a treat that was healthy, safe, and tasty"
"The ingredients are natural and acceptable for my mutts. I always feed them natural or organic food and snacks.<br /><br />They loved these Newman snacks. As I said, 4 Paws Up!",What was the name of the Newman snack that I ate?,4 Paws Up
"I am pretty particular about what I give my dog for treats. She has always had a funny tummy. If she gets something not right with her she vomits and gets some digestive issues going. My sister has long been a fan of these treats so I decided to give them a try.<br /><br />After giving my dog one treat a day for a couple of days they seemed to agree with her stomach and she moved up to a couple a day. She responded well to them so they get the thumbs up there. She is also fairly motivated do things for them as well.<br /><br />They don't have any odd odor and there isn't any residue left in my pocket from carrying them around for awhile when she is out and about with me.<br /><br />Overall, they are a high quality treat with a decent treat value (in dog terms). I'm not sure how often I will purchase them, but from what I have experienced with them right now I would certainly consider it.",What is the name of the treat I give my dog for?,funny tummy
"Of course my fat dog loved these treats! It's always good to feed your pooch something that might be good for her, rather than something that might cause allergies or other issues. I'm hoping the ""organic"" part of these treats are good for sensitive dogs.<br /><br />My dog absolutely scarfed these down. But then, my dog will also pick up a discarded pizza crust in a gutter (try and get THAT out of her mouth.)<br /><br />Verdict: probably good, can't hurt the dog. Might hurt your wallet. These are not Milk Bone-priced.",What kind of treats did my fat dog love?,"organic"" part of these treats"
The jury is in.  They voted as followed:<br /><br />1. Nena (I love 'em!)<br />2. Grizzly (I love 'em!)<br />3. Samantha (I love 'em!)<br />4. Toya (I love 'em!)<br /><br />They were unanimous in their opinion!  Newman's Own does it again with<br />their Organic doggy treats.<br /><br />I'd like to think that Paul would be proud of the ongoing achievements'<br />of the company that bears his name!<br /><br />I rate this product:  5 stars!,What did the jury vote for Newman's Own?,Organic doggy treats
The ingedients and farming methods are impressive.  More impressive is the dog's reaction to these treats.  Wave one and I can get him to do almost anything.  Good dog.  Really good treats.,What is the dog's reaction to treats?,More impressive
"<span class=""tiny""> Length:: 1:10 Mins<br /><br /></span>My dog's favorite treat is vitalife chicken poppers.  I did a video taste test with 3 treats (this one, the chicken popper, and a regular milkbone biscuit) expecting her to take the popper first, but then see how fast she came back for the Newman's Own Dog treat.  To my actual surprise she took the Newman's Own first.  This was the first time I ever offered it to her.  I usually give her a few treats in the morning and she smells them all and grabs her favorite first.<br /><br />I will definitely be buying more.  Check out the video.  I asked her to give the treat back to me (she's a good dog) and choose again just to make sure.  She chose the Newman's own again and gobbled it.  She did come back for the chicken popper when she was done with the Newman's Own.  She left the Milk Bone where it was.<br /><br />In addition to her liking it, I liked that the ingredient list was so simple without unrecognizable ingredients ... i.e. it was Barley, Lamb, Carrots.  If I like the ingredient list and she loves the treat, that's all I need to know!<br /><br />Very very happy with this product!!!",What was the name of the dog's favorite treat?,vitalife chicken poppers
